id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs
d37447a8-977c-4b10-a114-42908d4f5d80,fc718271-7d72-4aa7-9e9f-a7b4a48f2176,2020-06-19T13:45:48.675938Z,2020-06-19T13:45:48.835103Z,2020-06-19T13:45:48.661357Z,2020-06-19T13:45:48.825115Z,,,,,,,9a1adda3-4042-49f6-9cee-8084dd872e22,ABEO,us_equity,157,157,3.14,,market,market,sell,day,,,filled,False,
df7f34b4-f923-4969-9b35-0b93aec7edab,65f7068e-f18a-4e36-a19f-62dd1e217c6c,2020-06-19T13:45:47.660999Z,2020-06-19T13:45:47.780706Z,2020-06-19T13:45:47.649819Z,2020-06-19T13:45:47.772211Z,,,,,,,255adf82-f431-4210-b873-4d454b1b0c62,AGTC,us_equity,87,87,5.69,,market,market,sell,day,,,filled,False,
a0818bab-abd2-432c-9420-a13e0160eb52,626c2ad6-4395-4f41-85a1-6f706aa718e1,2020-06-19T13:45:46.524467Z,2020-06-19T13:45:46.678835Z,2020-06-19T13:45:46.514876Z,2020-06-19T13:45:46.656479Z,,,,,,,eb4b0940-ace7-4746-8593-10c9dbdafbb7,AKTS,us_equity,60,60,7.97,,market,market,sell,day,,,filled,False,
96d2f6d6-9a5b-4f35-bf31-0dbc88e68fd6,e6b41527-bf65-48f0-bc49-ae68a534da90,2020-06-19T13:45:45.480463Z,2020-06-19T13:45:45.74091Z,2020-06-19T13:45:45.469647Z,2020-06-19T13:45:45.73219Z,,,,,,,d6695dec-cfe9-4be8-981d-ebac8559aede,ASC,us_equity,102,102,4.9,,market,market,sell,day,,,filled,False,
ce309a9b-5e28-4ec5-9177-139bef751a4f,f3c46665-cbf2-4c3c-b538-97dffe771ffd,2020-06-19T13:45:44.472798Z,2020-06-19T13:45:44.600944Z,2020-06-19T13:45:44.463383Z,2020-06-19T13:45:44.591516Z,,,,,,,1cce2bf1-1607-4d2f-af9f-54f0d59524f8,BCDA,us_equity,223,223,2.3,,market,market,sell,day,,,filled,False,
28510baa-e6c6-4db2-80bd-2913b60beb81,3efe94ee-e571-46a5-bab5-b03acdd3d632,2020-06-19T13:45:43.452635Z,2020-06-19T13:45:43.679896Z,2020-06-19T13:45:43.442294Z,2020-06-19T13:45:43.656861Z,,,,,,,ea50d3c3-52ce-4fa7-a9ef-ade61941675e,BCLI,us_equity,49,49,9.88,,market,market,sell,day,,,filled,False,
6b6374c9-f3c2-4735-9be4-db9fe63245fa,719a6b92-9fe9-4c19-85bd-afcee224d5ef,2020-06-19T13:45:42.476079Z,2020-06-19T13:45:42.574238Z,2020-06-19T13:45:42.4657Z,2020-06-19T13:45:42.561228Z,,,,,,,d2ea372f-12dd-4320-9a7d-d25d111a84fc,CLSN,us_equity,108,108,4.96,,market,market,sell,day,,,filled,False,
f1c5ee28-2749-47b1-add8-d0ffd59db99e,6d2ac44a-8c58-4cc7-8eaf-c746849718f2,2020-06-19T13:45:41.424876Z,2020-06-19T13:46:12.485197Z,2020-06-19T13:45:41.410534Z,2020-06-19T13:46:12.461888Z,,,,,,,137d2955-7aca-48a4-bc08-cd01ec684f54,COHN,us_equity,44,44,20.5,,market,market,sell,day,,,filled,False,
f579645f-dcf5-4440-909f-68cebbf89a55,bb6cdefb-6521-4af6-a813-44e27b894d7c,2020-06-19T13:45:40.442229Z,2020-06-19T13:45:40.688639Z,2020-06-19T13:45:40.433668Z,2020-06-19T13:45:40.676576Z,,,,,,,043b255d-cead-482d-bfe4-fa26bce46d45,ELOX,us_equity,126,126,3.55,,market,market,sell,day,,,filled,False,
42864f3b-3ed7-4061-9765-45cb1aaca44d,0b59e49c-af19-454f-b1d3-c0b82a1a3b2f,2020-06-19T13:45:39.344964Z,2020-06-19T13:45:39.648065Z,2020-06-19T13:45:39.339012Z,2020-06-19T13:45:39.625277Z,,,,,,,02e3e79d-7cc0-41a9-acb5-23996c399525,EOLS,us_equity,84,84,5.43,,market,market,sell,day,,,filled,False,
